attribute_set_name,first_category
Yogurt Maker,Appliances
Water Heaters,Appliances
Water Dispenser,Appliances
Washers & Dryer,Appliances
Vacuum Cleaners,Appliances
Toasters,Appliances
Tanks,Appliances
Suction Fan,Appliances
Sandwich Waffle Makers,Appliances
Refrigerators & Freezers,Appliances
Pressure Cooker,Appliances
Mixers & Blenders,Appliances
Microwaves & Ovens,Appliances
Kitchen Machine & Kneading Machines,Appliances
Kettles,Appliances
Juicers,Appliances
Irons,Appliances
Insect Killer,Appliances
Heaters,Appliances
Grinders,Appliances
Grill,Appliances
Fryers,Appliances
Fans,Appliances
Electric Slicers,Appliances
Electric Meat Grinders,Appliances
Dishwasher,Appliances
Cookware,Appliances
Cookers,Appliances
Coffee Makers,Appliances
Burner,Appliances
Built in,Appliances
Baking Tools,Appliances
Appliances Parts & Accessories,Appliances
Air Coolers,Appliances
Air Conditioner,Appliances
Hair Care,Appliances
TV Stand & Accessories,Electronics
TV Cable,Electronics
Televisions,Electronics
Telephones,Electronics
Security & Surveillance Systems,Electronics
Routers & Repeaters,Electronics
Remote Units,Electronics
Receivers,Electronics
Projectors,Electronics
Printers,Electronics
PlayStation Games & Accessories,Electronics
PlayStation & Accessories,Electronics
Monitors,Electronics
Mobile Accessories,Electronics
Memory Card,Electronics
Media Streaming Devices,Electronics
Laptops & Notebooks,Electronics
Laptop Accessories,Electronics
Laptop & Computer Tables,Electronics
Keyboard & Mouse,Electronics
Jog Wheels & DJ Mixer,Electronics
Hardware Components,Electronics
Electronics Storage & Accessories,Electronics
Electronics Audio,Electronics
Desktops,Electronics
Computer Cables,Electronics
Cameras Accessories,Electronics
Camera,Electronics
Webcam,Electronics
Stabilizer,Electronics
Watches Accessories,Mobiles
Tablets,Mobiles
Smart Watches,Mobiles
Screen Protectors,Mobiles
Power Banks,Mobiles
Mobile Phones,Mobiles
Mobile Cable,Mobiles
Mobile Audio,Mobiles
Chargers,Mobiles
AirPods,Mobiles
Women Bags,Fashion
Watches,Fashion
Underwear''s,Fashion
Tops and T-shirts,Fashion
Swimwear,Fashion
Sunglasses,Fashion
Shoes,Fashion
Shoe Care & Accessories,Fashion
Scarves & Wraps,Fashion
Rings,Fashion
Pants,Fashion
Pajamas & Sleepwear,Fashion
Necklaces,Fashion
Men''s Bags,Fashion
Men''s Accessories,Fashion
Luggage,Fashion
Kids Bags,Fashion
Hats & Caps,Fashion
Fashion Accessories,Fashion
Ethnic & Traditional Wear,Fashion
Earrings,Fashion
Costumes Cosplay,Fashion
Bracelets,Fashion
Watches & Alarms,Furniture
Wardrobe,Furniture
Wall Lamp Lights,Furniture
Wall Hanging,Furniture
Wall Decor,Furniture
Vases,Furniture
TV Table,Furniture
Tables,Furniture
Table Lighting,Furniture
Storage Units,Furniture
Storage & Organization,Furniture
Sofa,Furniture
Side Table,Furniture
Shoe Rack,Furniture
Recliner,Furniture
Plant Pots,Furniture
Picture Frames,Furniture
Office Chairs,Furniture
Mirror,Furniture
Living Rooms,Furniture
Lighting Hanging,Furniture
Light Bulb,Furniture
Kitchenware,Furniture
Kitchen Rooms,Furniture
Islamic,Furniture
Home Decor,Furniture
Home & Balcony Essentials,Furniture
Garden Swing,Furniture
Garden Furniture,Furniture
Garden Decoration & Accessories,Furniture
Floor Lamp,Furniture
Dressing Table,Furniture
Display & Book Cases,Furniture
Dining Table,Furniture
Dining Rooms,Furniture
Dining Chairs,Furniture
Desks,Furniture
Decorative Accessories,Furniture
Console Table,Furniture
Commode & Drawer Units,Furniture
Coffee Corner,Furniture
Clothes Hangers,Furniture
Center Table,Furniture
Candles,Furniture
Beds,Furniture
Bedrooms,Furniture
Bean Bags,Furniture
Bar Chairs,Furniture
Bathroom Accessories,Furniture
Camping Goods,Furniture
Safes and Safe Accessories,Home
Power & Hand Tools,Home
Plastic & Paper Products,Home
Ladders & Clothes Dryer,Home
Kitchen Accessories,Home
Iron Tables,Home
Garden Tools,Home
Connectors,Home
Cleaning Tools & Supplies,Home
Car Care,Home
Batteries,Home
Barbecue Grills & Accessories,Home
Sink Faucets,Home
Party Supplies,Home
Office Supplies,Home
Cushions,Home
Water Filters Accessories,Kitchen
Water Filters,Kitchen
Serveware,Kitchen
Kitchen Scale,Kitchen
Knife & Cutters,Kitchen
Drinkware,Kitchen
Dinnerware,Kitchen
Cutlery & Flatware Set,Kitchen
Bowl,Kitchen
Personal Scale,Kitchen
Towels,Textile
Tablecloth,Textile
Pillows,Textile
Mattress,Textile
Mats,Textile
Chairs Cover,Textile
Carpets Accessories,Textile
Carpets,Textile
Bedding,Textile
Bed Sheets,Textile
Sports Equipment,Family Products
Soap & Shower Gel,Family Products
Skin Care,Family Products
Shaving & Grooming,Family Products
Shampoos & Conditioners,Family Products
Sewing Machines,Family Products
Scooters,Family Products
Pet Supplies,Family Products
Pet Foods,Family Products
Perfumes,Family Products
Nursery Furniture & Decor,Family Products
Makeup,Family Products
Hair Treatments,Family Products
Fishing,Family Products
Dolls,Family Products
Diapers,Family Products
Child Safety,Family Products
Car Video,Family Products
Car Tires,Family Products
Car Speakers,Family Products
Car Parts And Services,Family Products
Car Audio,Family Products
Car Amplifiers,Family Products
Bike & Scooters,Family Products
Beauty & Body Care,Family Products
Baby Feeding,Family Products
Baby Care,Family Products
Baby Accessories,Family Products
Activities & Books,Family Products
Action Toys,Family Products
